GDD5,MTCO,Abies,Alnus,Betula,Picea,Pinus D,Quercus D,Gramineae
743,-0.4,0,13,102,0,148,0,226
459,-2.3,0,51,55,0,163,9,354
2515,3.1,0,4,0,0,375,94,262
2240,2.1,0,0,2,0,303,461,167
2124,1.5,0,3,0,0,244,592,57
1865,0.3,0,0,0,0,895,13,36
1683,-0.6,0,0,2,0,885,14,43
1387,-2,0,4,4,0,441,55,254
2552,3.1,0,3,0,0,280,20,294
2587,3.2,0,0,0,0,190,27,155
2775,6.3,0,18,5,0,141,27,45
2093,2.8,0,26,42,0,61,29,397
3776,8.6,0,37,54,0,175,57,424
3556,8.8,0,28,3,0,548,31,285
2618,4.8,0,20,10,0,55,107,277
3648,9.7,0,0,0,0,510,3,469
793,-8.3,0,6,0,0,153,26,78
4225,10.2,0,0,0,0,58,49,681
1728,2.4,0,12,71,0,47,134,383
3766,8.6,0,72,9,0,94,34,484
2520,3.6,0,0,0,0,223,10,294
3648,9.7,3,6,0,0,600,23,203
2550,3.3,0,14,0,0,156,69,156
2545,3.4,0,12,0,0,105,22,779
3966,10,3,86,0,0,454,0,330
2742,4,0,5,5,0,166,429,171
1956,1.1,0,0,0,0,411,43,110
3123,6.1,0,25,8,0,205,25,438
3794,8.4,0,51,18,0,346,23,310
2933,5,0,0,0,0,352,89,92
3009,5.1,0,14,4,0,102,104,116
2926,5,0,0,0,0,81,49,253
2021,1.5,0,3,0,0,380,17,421
3647,7.5,0,0,0,0,135,147,139
2966,5.4,0,0,0,0,58,275,61
1979,1.1,0,0,3,0,505,81,156
3240,5.6,0,0,0,0,457,7,77
2598,4,0,3,3,0,205,117,254
3614,6.4,0,14,11,0,536,150,109
2325,1.6,0,4,6,0,836,19,32
2325,1.6,0,0,50,0,489,91,85
3085,4.2,0,7,0,0,390,74,112
2783,4.3,0,7,7,0,75,14,270
793,-8.3,0,0,0,0,88,22,229
780,-8.4,0,0,0,0,445,19,27
1932,1.6,5,0,0,0,668,17,33
1822,-0.1,10,0,5,5,585,43,193
2412,3,0,0,0,0,252,39,16
2904,4.8,0,36,0,0,147,82,133
1654,2.1,3,16,76,3,62,127,390
3009,5.1,0,3,0,0,172,132,172
2274,4.8,0,7,27,0,55,7,699
3009,5.1,0,4,0,0,63,242,268
3410,6.1,0,0,0,0,386,75,150
3854,7.5,0,0,0,0,289,44,228
3796,7.3,0,0,0,0,259,86,157
3513,6.4,0,3,0,0,271,53,121
2374,3.7,0,0,0,0,20,3,65
2574,4.6,0,0,0,0,79,8,148
2683,4.9,0,0,3,0,98,3,271
2831,5.4,0,0,0,0,119,0,216
2473,4,0,4,0,0,57,0,81
2490,4,0,0,0,0,44,4,125
2926,5.6,0,0,0,0,40,3,77
3237,2,0,44,41,0,44,66,284
1483,-1.7,0,14,3,3,119,87,360
1280,-2.4,7,82,7,0,191,46,156
1229,-2.6,32,68,19,0,175,26,175
1451,-1.7,22,52,5,3,173,55,184
1330,-2.1,0,48,93,0,222,51,88
1094,-2.8,84,71,17,13,226,91,152
1430,-1.3,0,21,31,0,21,57,674
1268,-1.9,9,26,12,6,230,76,189
1673,-0.5,0,453,9,0,5,108,61
3559,5.7,0,15,11,0,50,330,283
1849,0,0,16,5,0,26,120,283
3519,5.6,3,26,0,0,42,71,249
1455,-2,71,143,4,0,437,0,34
1717,-0.2,4,29,0,0,79,12,351
2886,3.9,7,638,0,0,15,85,26
1845,0.4,16,6,3,0,86,26,383
2412,2.4,0,41,0,0,72,58,360
3433,5.9,9,29,0,0,100,62,191
3548,6.3,14,53,0,0,33,38,278
3752,7.2,0,19,0,0,48,26,458
4478,9.3,0,24,0,0,66,97,205
2782,3.8,6,318,0,0,61,0,28
1648,-0.7,0,98,0,0,35,14,281
2886,3.9,11,182,0,0,21,64,144
1960,0.5,4,51,0,0,23,47,444
3087,4.8,0,120,0,0,10,77,261
3712,7.2,13,5,0,0,73,5,505
3338,6,5,23,0,0,19,114,203
3341,6,10,18,0,0,7,467,352
3341,6,0,34,0,0,24,416,361
3341,6,0,32,0,0,13,331,514
3341,6,5,24,0,0,11,415,405
3083,5.2,0,16,0,0,28,522,270
3016,4.9,0,56,0,0,47,504,171
3016,4.9,0,38,0,0,40,390,306
3016,4.9,0,49,0,0,44,462,222
2903,4.5,0,49,0,0,71,521,117
2903,4.5,0,60,0,0,29,533,114
2903,4.5,0,57,0,0,49,523,157
2903,4.5,0,53,0,0,52,523,131
3317,5.9,0,144,0,0,29,255,280
3317,5.9,0,174,1,0,20,395,162
3317,5.9,0,167,2,0,22,364,187
3217,5.6,0,29,1,0,80,466,102
3229,5.7,0,58,0,0,18,130,621
3229,5.7,4,99,0,0,29,187,520
3229,5.7,3,73,0,0,21,151,589
2921,4.7,0,26,0,4,70,362,188
2921,4.7,0,98,0,0,24,248,224
2921,4.7,0,63,0,4,46,305,209
222,-11.6,10,69,33,20,227,16,237
138,-12.5,0,77,23,17,151,30,635
347,-10.9,0,72,36,97,404,31,228
1582,-4.6,0,45,90,20,369,237,55
179,-12.2,4,49,42,70,401,28,148
179,-12.2,0,47,47,28,331,36,372
188,-12.1,0,61,36,51,265,20,109
312,-11.2,0,41,21,82,577,26,126
507,-9.9,0,113,22,103,389,38,96
481,-10.1,0,100,22,33,406,29,95
541,-9.7,0,33,13,35,535,33,133
463,-10.2,0,67,56,109,313,50,165
854,-8,0,12,31,12,264,17,341
403,-10.6,0,35,20,20,69,54,641
867,-3.3,36,3,0,5,384,23,46
705,-4,244,52,3,11,307,28,117
7059,15.1,0,0,0,0,9,0,28
6419,13,0,0,0,0,4,0,39
1502,-18.5,4,0,206,0,48,0,73
1360,-18.6,0,0,110,0,244,0,134
1442,-18.6,0,0,289,11,261,0,128
1511,-18.6,3,0,204,3,138,0,34
1591,-18.5,7,0,13,0,359,0,131
1456,-18.6,0,0,233,0,65,0,52
1474,-18.7,0,0,51,0,51,0,171
1527,-19.2,0,0,278,5,35,0,15
1687,-18,0,0,28,5,56,0,42
1799,-17.5,0,13,64,0,13,0,52
1756,-17.4,0,3,42,0,3,0,29
1704,-17.6,0,3,35,0,6,0,51
1756,-17.3,0,4,17,0,13,0,200
2953,-7.1,0,23,5,0,14,0,52
2514,-12.4,0,5,5,0,5,0,52
2566,-11.3,0,0,34,0,20,0,41
2610,-10.5,0,0,6,0,24,0,235
2558,-11.5,0,0,6,0,3,0,21
